seed,accuracy,f1_score,loss
0,0.7752976218859354,0.7597651282946268,0.524398555358251
1,0.777157743771871,0.7609400351842245,0.49756038188934326
2,0.7604166666666666,0.7415076096852621,0.5229640106360117
3,0.7745535771052042,0.7579856713612875,0.5211166143417358
4,0.7909226218859354,0.7734423279762268,0.491979440053304
5,0.7793898781140646,0.7597222328186035,0.5281765560309092
6,0.7712053656578064,0.7495280702908834,0.5140740474065145
7,0.7767857114473978,0.7579430341720581,0.5088344812393188
8,0.7946428656578064,0.7772618532180786,0.49364492297172546
9,0.7712053656578064,0.7487312157948812,0.5176950693130493
